Балаклійський район   (центр - м Балаклія)
Балаклійська міська рада
22 м Балаклія
23 с Крейдянка
Андріївська селищна рада
24 смт Андріївка
Донецька селищна рада
25 смт Донець
26 с Дальня Шебелинка
27 с Копанка
28 с Прогрес
29 с Червона Гірка
Савинська селищна рада
30 смт Савинці
31 с Довгалівка
Асіївська сільська рада
32 с Асіївка
33 с Новомиколаївка
34 с Попівка
35 с-ще Слобожанське
36 с Соколівка
37 с Успенське
Борщівська сільська рада
38 с Борщівка
Бригадирівська сільська рада
39 с Бригадирівка
Вербівська сільська рада
40 с Вербівка
Веселівська сільська рада
41 с-ще Веселе
42 с-ще Крючки
43 с-ще Новоселівка
44 с-ще Нурове
45 с Пазіївка
46 с Слабунівка
47 с-ще Теплянка
48 с Українка
Вишнівська сільська рада
49 с Вишнева
50 с Першотравневе
Гусарівська сільська рада
51 с Гусарівка
52 с Волобуївка
Залиманська сільська рада
53 с Залиман
54 с Мирна Долина
55 с Норцівка
Лозовеньківська сільська рада
56 с Лозовенька
57 с Вільне
58 с Нова Серпухівка
Міловська сільська рада
59 с Мілова
60 с Криничне
61 с Первомайське
62 с Червоний Шлях
Морозівська сільська рада
63 с Морозівка
64 с Бородоярське
65 с Вільхуватка
Новогусарівська сільська рада
66 с Нова Гусарівка
67 с Байрак
68 с Щурівка
Петрівська сільська рада
69 с Петрівське
70 с Берестянки
71 с Завгороднє
Пришибська сільська рада
72 с Пришиб
73 с-ще Покровське
74 с Явірське
Протопопівська сільська рада
75 с Протопопівка
76 с Волвенкове
П'ятигірська сільська рада
77 с-ще П'ятигірське
78 с Глазунівка
79 с Серафимівка
Чепільська сільська рада
80 с Чепіль
81 с Вітрівка
Шебелинська сільська рада
82 с Шебелинка
83 с Новотроїцьке
Шевелівська сільська рада
84 с Шевелівка
Яковенківська сільська рада
85 с Яковенкове
86 с Вовчий Яр
87 с Калинівка
88 с Степок
89 с Таранушине
Барвінківський район   (центр - м Барвінкове)
Барвінківська міська рада
90 м Барвінкове
Богодарівська сільська рада
91 с Богодарове
92 с Надеждівка
93 с Погонівка
94 с Федорівка
Великокомишуваська сільська рада
95 с Велика Комишуваха
96 с Барабашівка
Гаврилівська сільська рада
97 с Гаврилівка
98 с Африканівка
99 с Богданове
100 с Іванівка
101 с Ковалівка
102 с Котівка
103 с Малинівка
104 с Новобогданове
105 с Пригоже
106 с Степове
107 с Червона Зоря
Григорівська сільська рада
108 с Григорівка
109 с Малолітки
110 с Миколаївка
111 с Петрівка
Грушуваська сільська рада
112 с Грушуваха
113 с Степок
Гусарівська сільська рада
114 с Гусарівка
115 с Василівка Друга
116 с Василівка Перша
117 с Веселе
118 с Маяк
119 с Нікополь
120 с Новопавлівка
121 с Олександрівка
Іванівська сільська рада
122 с Іванівка
123 с Велика Андріївка
124 с Високе
125 с Семиланне
126 с Ставкова Балка
127 с Червона Поляна
128 с Червоне
Іванівська Друга сільська рада
129 с-ще Іванівка
130 с Дмитрівка
131 с Мар'ївка
132 с Червона Балка
Іллічівська сільська рада
133 с Рідне
134 с Дібрівне
135 с Курулька
136 с Нова Дмитрівка
137 с Пашкове
Мечебилівська сільська рада
138 с Мечебилове
139 с Стара Семенівка
140 с Українка
141 с Федорівка
Новомиколаївська сільська рада
142 с Нова Миколаївка
143 с Червоний Лиман
Подолівська сільська рада
144 с Подолівка
145 с Архангелівка
146 с Благодатне
147 с Данилівка
148 с Олександрівка
149 с-ще Язикове
Близнюківський район   (центр - смт Близнюки)
Близнюківська селищна рада
150 смт Близнюки
151 с Батющки
152 с Садове
Алісівська сільська рада
153 с Алісівка
154 с Безпальцеве
155 с Рижове
Башилівська сільська рада
156 с Башилівка
157 с Лугове
158 с Новоіванівка
159 с Новопокровка
160 с Рясне
161 с Софіївка
162 с Червоне
Берестівська сільська рада
163 с Берестове
164 с Новоселівка
165 с Остерське
166 с Преображенівка
167 с Тимофіївка
